id,name,number,frameid
1,PLATE AIR/C DUCT COV,50177-KTC-9000,2
2,BRKT L P STEP,50133-KCC-9000,2
3,BRKT R P STEP,50132-KTR-A000,2
4,STAY SIDE COVER R,50173-KTC-A200,2
5,CLIP 1*50,94591-15000,2
6,CLIP B HARNESS,50178-KCC-9000,2
7,STAY SIDE COVER ,50174-KTC-9000,2
8,STAY L CDI,50166-KTR-A000,2
9,STAY R CDI,50165-KTR-A000,2
10,CLIP HARNESS,50178-MG3-3000,2
11,GUIDE DRAIN HOSE,50127-KTC-A200,2
12,CLIP B HARNESS,50178-KCC-9000,2
13,BRKT RR STOP SW,-,2
14,STOPPER RR BRAKE,50154-KTC-9000,2
15,BRKT M STAND R,50178-KTC-9000,2
16,BRKT M STAND L,50179-KTC-9000,2
17,STAY AIR/C LOW,50143-KTC-A200,2
18,GUIDE THROTTLE CABLE,50144-AAG-5000,2
19,CLIP HARNESS,-,2
20,STAY UTILITY BOX,50159-KTC-9000,2
21,STAY CANISTER WELD,5010A-AAG-5000-20,2
22,GUIDE DRAIN HOSE,50127-AAH-A000,2
23,CLIP HARNESS,50158-KCC-9000,2
24,CLIP HARNESS,50199-HAO-3000,2
25,CLIP HARNESS,-,2
26,COLLAR FUEL TANK MTG,50176-KCC-9000,2
27,"STAY ,CANISTER TUBE",50153-AAH-A000,2
28,BRKT. ENG GUARD,50138-KTC-9000,2
29,Guide Throttle Cable,-,2
30,STOPPER HANDLE,50124-KTR-9000,2
31,COLLAR,-,2
32,PLATE,-,2
33,COLLAR,-,2
34,CLIP HARNESS,50178-MK4-3000,2
35,Guide Throttle Cable,-,2
36,Guide Clutch Cable,-,2
37,BRKT.HORN COMP,50151-KTC-9000,2
38,GUIDE HARNESS,50169-KST-9400,2
39,STAY IGN COIL,50146-KTC-A200,2
40,Guide Throttle Cable,50144-AAG-5000,2
41,CLIP A HARNESS,50152-KCC-9000,2
42,CLIP A HARNESS,50152-KCC-9000,2
43,CLIP 1*100,94591-11000,2
44,STAY AIR/C UP,50131-KTC-9000,2
45,PURGE VALVE BKT,-,2
46,BKT. MAIN STEP,50163-KTC-9000,2
47,HOOK SPRING,50531-KAG-9000,2
48,BRKT. ENG GUARD,50138-KTC-9000,2
49,CLIP A HARNESS,50152-KCC-9000,2
50,HOOK SPG,50531-AAG-1000,2
51,GUIDE DRAIN TUBE,50111-KTR-9000,2
52,PLATE AIR/C DUCT COV,50177-KTC-9000,2
53,STAY SARI GUARD,50157-KCC-9000,2
54,HOOK SEAT,50125-KTC-A200-21,2
55,STAY I3S,50220-AAG-6000,2
56,CLIP  HARNESS,-,2
